/works/OL1000782W	Chain Letter	|They all shared the same secret...now they would share the same terror

When Alison first read the chain letter signed 'Your Caretaker', she thought it was some terrible sick joke. Someone, somewhere knew about that awful night when she and six other friends committed an unthinkable crime in the desolate California desert. And now that person was determined to make them pay for it.

One by one, the chain letter came to each of them... demanding dangerous, impossible deeds... threatening violence if the demands were not met.

No one out of the seven wanted to believe that this nightmare was really happening to them.

Until the accidents started happening - and the dying...|	{"authors": ["/authors/OL92956A"], "subjects": ["Mystery fiction", "horror tales", "horror fiction", "juvenile fiction", "Juvenile works", "fiction", "mental illness", "loneliness", "letters", "secrets", "American Young adult fiction", "Horror tales", "Children's fiction", "Horror stories", "California, fiction"], "covers": [8567467, 10374565, 3183301, -1]}
/works/OL10058931W	Vibrations of Shells and Rods	This book is intended for engineers who deal with vibrations of shells and rods in their everyday practice but also wish to understand the subject from the mathematical point-of-view. Particularly the results concerning high-frequency vibrations may be new to them. The book can also serve as a textbook for advanced students. It may also be interesting for mathematicians who seek applications of the variational and asymptotic methods in elasticity and piezoelectricity. Only a minimum knowledge in advanced calculus and contiuum mechanics is assumed on the part of the reader.	{"authors": ["/authors/OL4042095A"], "subjects": ["Elastic plates and shells", "Bars (Engineering)", "Shells (Engineering)", "Elastic rods and wires", "Vibration"], "covers": [3231284]}
/works/OL100772W	Inversions	|In the winter palace, the King’s new physician has more enemies than she at first realises. But then she also has more remedies to hand than those who wish her ill can know about.

In another palace across the mountains, in the service of the regicidal Protector General, the chief bodyguard, too, has his enemies. But his enemies strike more swiftly, and his means of combating them are more traditional.|	{"authors": ["/authors/OL6924809A"], "subjects": ["Fiction", "Fantasy", "Women physicians, fiction", "Fiction, science fiction, general", "Fiction, general", "Kings and rulers", "Women physicians", "Bodyguards", "Secrecy", "Deception", "[series:IMB_The_Culture]"], "covers": [908983, 4918993, 8545443, 8579732, 8668359]}
/works/OL10101538W	Wolio Dictionary Wolio English Indonesian	The Wolio language is part of the Austronesian language family. The text, as well as providing a dictionary, aims to introduce the reader to traditional Wolio language and literature.	{"authors": ["/authors/OL4086208A"], "subjects": ["Wolio language", "Dictionaries", "English", "Indonesian", "Language and languages"], "covers": [5216984]}
/works/OL10102328W	Application of Quantitative Methods in Veterinary Epidemiology	x, 445 pages :	{"authors": ["/authors/OL4087160A"], "subjects": ["Methodology", "Veterinary epidemiology", "Epidemiology", "Veterinary medicine", "Veterinary epidemiology -- Methodology", "Epidemiologic Methods -- veterinary", "Veterinary Medicine", "E\u0301pide\u0301miologie ve\u0301te\u0301rinaire", "E\u0301pide\u0301miologie ve\u0301te\u0301rinaire -- Me\u0301thodologie", "Me\u0301decine ve\u0301te\u0301rinaire", "veterinary medicine", "Epide\u0301miologie", "Me\u0301thodes de recherche"], "covers": [3341252]}
/works/OL1022214W	Türk devriminde Celal Bayar, 1918-1960	Turkey; history; 1918-1960.	{"authors": ["/authors/OL97548A"], "subjects": ["Politics and government", "History"], "covers": [3716286]}
/works/OL1022893W	Thamnīap hūamư̄ang Rō̜. Sō̜. 118 (Phō̜. Sō̜. 2442)	Directories of officials and employees of Thailand in 1899.	{"authors": ["/authors/OL97702A"], "subjects": ["Directories", "Officials and employees"]}
/works/OL1022933W	Wiphāk kotmai lư̄aktang	Criticism on Thai laws on general elections.	{"authors": ["/authors/OL97710A"], "subjects": ["Election law"]}
/works/OL1023228W	Kotmāi nai nāthī Krom Rātchathān	Laws, rules, and regulations relating to duties of Thailand's Department of Corrections, Ministry of Interior, and its supervision of prisons and their inmates; commemorative volume on occasion of kathin ceremony at Wat Chaichana Songkhram, Bangkok, 12 November 1980.	{"authors": ["/authors/OL97754A"], "subjects": ["Correctional law"]}
